Imagen|Tipos de Daño|Piezas del Vehículo|Sugerencia
1.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
2.jpg|Abolladura-dent|Parachoques trasero|Reparar
3.jpg|Arañazo-scratch|Parachoques delantero|Reparar
4.jpg|Rotura-crack|Rueda |Reparar
5.jpg|Rotura-crack|Parabrisas trasero|Reemplazar
6.jpg|Arañazo-scratch|Parachoques trasero|Reparar
7.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
8.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
9.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
9.jpg|Deformación-deformation|Capó |Reparar
9.jpg|Deformación-deformation|Guardabarros delantero izquierdo |Reparar
9.jpg|Rotura-crack|Faros derecho|Reemplazar
9.jpg|Rotura-crack|Luz indicadora delantera derecha|Reemplazar
10.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
11.jpg|Arañazo-scratch|Parachoques trasero|Reparar
12.jpg|Rotura-crack|Faros derecho|Reemplazar
13.jpg|Rotura-crack|Faros izquierdo|Reemplazar
14.jpg|Abolladura-dent|Parachoques trasero|Reparar
15.jpg|Rotura-crack|Faros derecho|Reemplazar
15.jpg|Rotura-crack|Parachoques delantero|Reparar
15.jpg|Rotura-crack|Guardabarros delantero derecho |Reparar
15.jpg|Rotura-crack|Luz indicadora delantera derecha|Reemplazar
16.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
17.jpg|Arañazo-scratch|Puerta trasera derecha|Reparar
17.jpg|Arañazo-scratch|Guardabarros trasero derecho|Reparar
18.jpg|Rotura-crack|Faros derecho|Reemplazar
18.jpg|Rotura-crack|Parachoques delantero|Reemplazar
18.jpg|Rotura-crack|Luz indicadora delantera derecha|Reemplazar
19.jpg|Rotura-crack|Parabrisas trasero|Reemplazar
20.jpg|Abolladura-dent|Puerta delantera izquierda|Reparar
20.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
20.jpg|Abolladura-dent|Marco de las puertas|Reparar
21.jpg|Rotura-crack|Faros derecho|Reemplazar
21.jpg|Desprendimiento-detachment|Parachoques delantero|Reemplazar
21.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
21.jpg|Abolladura-dent|Capó |Reparar
22.jpg|Fractura-shatter|Parachoques delantero|Reparar
23.jpg|Abolladura-dent|Parachoques delantero|Reparar
24.jpg|Rotura-crack|Rueda |Reemplazar
25.jpg|Deformación-deformation|Guardabarros delantero derecho |Reparar
26.jpg|Rotura-crack|Faros derecho|Reemplazar
26.jpg|Rotura-crack|Guardabarros delantero derecho |Reparar
26.jpg|Rotura-crack|Parachoques delantero|Reparar
27.jpg|Rotura-crack|Rueda |Reparar
28.jpg|Arañazo-scratch|Puerta delantera izquierda|Reparar
28.jpg|Arañazo-scratch|Guardabarros delantero izquierdo |Reparar
29.jpg|Rotura-crack|Faros derecho|Reemplazar
29.jpg|Deformación-deformation|Parachoques delantero|Reparar
30.jpg|Rotura-crack|Faros derecho|Reemplazar
30.jpg|Fractura-shatter|Parachoques delantero|Reparar
30.jpg|Deformación-deformation|Guardabarros delantero derecho |Reparar
30.jpg|Abolladura-dent|Capó |Reparar
31.jpg|Arañazo-scratch|Parachoques delantero|Reparar
32.jpg|Arañazo-scratch|Puerta delantera izquierda|Reparar
32.jpg|Arañazo-scratch|Guardabarros delantero izquierdo |Reparar
32.jpg|Rotura-crack|Luz indicadora delantera izquierda|Reemplazar
33.jpg|Arañazo-scratch|Guardabarros delantero izquierdo |Reparar
34.jpg|Arañazo-scratch|Parachoques trasero|Reparar
35.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
36.jpg|Rotura-crack|Rueda |Reparar
37.jpg|Rotura-crack|Parachoques delantero|Reparar
38.jpg|Rotura-crack|Parabrisas trasero|Reemplazar
39.jpg|Arañazo-scratch|Parachoques delantero|Reparar
40.jpg|Deformación-deformation|Marco de las puertas|Reparar
41.jpg|Rotura-crack|Faros derecho|Reemplazar
41.jpg|Abolladura-dent|Capó |Reparar
42.jpg|Arañazo-scratch|Parachoques delantero|Reparar
43.jpg|Arañazo-scratch|Parachoques delantero|Reparar
44.jpg|Abolladura-dent|Parachoques trasero|Reparar
44.jpg|Abolladura-dent|Guardabarros trasero derecho|Reparar
45.jpg|Abolladura-dent|Puerta trasera izquierda|Reparar
46.jpg|Arañazo-scratch|Parachoques delantero|Reparar
46.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
47.jpg|Rotura-crack|Rueda |Reparar
48.jpg|Arañazo-scratch|Parachoques delantero|Reparar
49.jpg|Rotura-crack|Ventana trasera izquierda|Reemplazar
50.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
51.jpg|Rotura-crack|Rueda |Reparar
52.jpg|Abolladura-dent|Parachoques delantero|Reparar
53.jpg|Rotura-crack|Faros derecho|Reemplazar
53.jpg|Arañazo-scratch|Parachoques delantero|Reparar
54.jpg|Arañazo-scratch|Guardabarros delantero izquierdo |Reparar
55.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
56.jpg|Abolladura-dent|Parachoques trasero|Reparar
57.jpg|Abolladura-dent|Puerta delantera derecha|Reparar
57.jpg|Abolladura-dent|Puerta trasera derecha|Reparar
58.jpg|Arañazo-scratch|Guardabarros delantero derecho |Reparar
59.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
60.jpg|Rotura-crack|Espejo lateral izquierdo|Reemplazar
60.jpg|Deformación-deformation|Guardabarros delantero izquierdo |Reparar
60.jpg|Rotura-crack|Parachoques delantero|Reparar
60.jpg|Deformación-deformation|Capó |Reparar
61.jpg|Rotura-crack|Parachoques delantero|Reparar
61.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
62.jpg|Rotura-crack|Faros derecho|Reemplazar
63.jpg|Arañazo-scratch|Parachoques delantero|Reparar
64.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
65.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
65.jpg|Abolladura-dent|Parachoques delantero|Reparar
66.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
67.jpg|Rotura-crack|Parachoques delantero|Reparar
67.jpg|Rotura-crack|Antiniebla delantero derecho|Reemplazar
68.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
69.jpg|Arañazo-scratch|Parachoques trasero|Reparar
70.jpg|Rotura-crack|Faros derecho|Reemplazar
71.jpg|Arañazo-scratch|Parachoques trasero|Reparar
72.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
73.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
73.jpg|Abolladura-dent|Capó |Reparar
74.jpg|Arañazo-scratch|Parachoques trasero|Reparar
75.jpg|Deformación-deformation|Guardabarros delantero izquierdo |Reparar
75.jpg|Desprendimiento-detachment|Parachoques delantero|Reparar
76.jpg|Abolladura-dent|Parachoques trasero|Reparar
77.jpg|Arañazo-scratch|Parachoques trasero|Reparar
78.jpg|Abolladura-dent|Capó |Reparar
78.jpg|Abolladura-dent|Parachoques delantero|Reparar
78.jpg|Deformación-deformation|Guardabarros delantero izquierdo |Reparar
79.jpg|Deformación-deformation|Puerta delantera izquierda|Reparar
79.jpg|Deformación-deformation|Puerta trasera izquierda|Reparar
80.jpg|Rotura-crack|Faros derecho|Reemplazar
81.jpg|Arañazo-scratch|Parachoques trasero|Reparar
82.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
83.jpg|Abolladura-dent|Parachoques trasero|Reparar
84.jpg|Rotura-crack|Rueda |Reparar
84.jpg|Deformación-deformation|Guardabarros delantero izquierdo |Reparar
85.jpg|Desprendimiento-detachment|Parachoques delantero|Reparar
86.jpg|Arañazo-scratch|Parachoques delantero|Reparar
87.jpg|Arañazo-scratch|Guardabarros delantero derecho |Reparar
88.jpg|Arañazo-scratch|Parachoques trasero|Reparar
89.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
90.jpg|Abolladura-dent|Guardabarros trasero izquierdo|Reparar
90.jpg|Abolladura-dent|Parachoques trasero|Reparar
90.jpg|Deformación-deformation|Maletro|Reparar
90.jpg|Rotura-crack|Luz trasera izquierdo|Reparar
91.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
92.jpg|Rotura-crack|Luz trasera izquierdo|Reemplazar
92.jpg|Deformación-deformation|Parachoques trasero|Reparar
93.jpg|Arañazo-scratch|Puerta delantera izquierda|Reparar
94.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
95.jpg|Rotura-crack|Parachoques delantero|Reparar
96.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
97.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
97.jpg|Deformación-deformation|Capó |Reparar
97.jpg|Fractura-shatter|Rejilla, parrilla|Reemplazar
97.jpg|Rotura-crack|Parachoques delantero|Reparar
98.jpg|Arañazo-scratch|Guardabarros delantero derecho |Reparar
98.jpg|Abolladura-dent|Puerta trasera derecha|Reparar
99.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
100.jpg|Rotura-crack|Faros derecho|Reemplazar
100.jpg|Deformación-deformation|Guardabarros delantero derecho |Reparar
100.jpg|Rotura-crack|Parachoques delantero|Reparar
101.jpg|Abolladura-dent|Parachoques delantero|Reparar
102.jpg|Fractura-shatter|Parachoques trasero|Reparar
103.jpg|Arañazo-scratch|Parachoques delantero|Reparar
104.jpg|Arañazo-scratch|Parachoques trasero|Reparar
105.jpg|Rotura-crack|Ventana delantera derecha|Reemplazar
106.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
106.jpg|Abolladura-dent|Marco de las puertas|Reparar
106.jpg|Deformación-deformation|Puerta delantera derecha|Reparar
107.jpg|Rotura-crack|Rueda |Reparar
108.jpg|Fractura-shatter|Parachoques delantero|Reparar
109.jpg|Abolladura-dent|Guardabarros trasero izquierdo|Reparar
109.jpg|Abolladura-dent|Marco de las puertas|Reparar
110.jpg|Arañazo-scratch|Puerta delantera derecha|Reparar
111.jpg|Arañazo-scratch|Parachoques delantero|Reparar
111.jpg|Arañazo-scratch|Guardabarros delantero derecho |Reparar
112.jpg|Abolladura-dent|Marco de la ventana|Reparar
112.jpg|Arañazo-scratch|Puerta trasera izquierda|Reparar
113.jpg|Rotura-crack|Faros izquierdo|Reemplazar
113.jpg|Rotura-crack|Parachoques delantero|Reparar
113.jpg|Rotura-crack|Antiniebla delantero izquierdo|Reemplazar
114.jpg|Abolladura-dent|Parachoques delantero|Reparar
115.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
116.jpg|Rotura-crack|Luz trasera izquierdo|Reemplazar
116.jpg|Rotura-crack|Parachoques trasero|Reemplazar
117.jpg|Deformación-deformation|Guardabarros trasero derecho|Reparar
117.jpg|Rotura-crack|Luz trasera derecho|Reemplazar
117.jpg|Desprendimiento-detachment|Parachoques trasero|Reparar
