image|parts|damages|suggestions
1081.jpg|[33]|[5]|[1]
1143.jpg|[34, 13]|[6, 6]|[1, 1]
603.jpg|[40]|[6]|[1]
396.jpg|[34, 21]|[2, 2]|[1, 1]
892.jpg|[40]|[6]|[1]
1000.jpg|[33]|[5]|[1]
379.jpg|[33, 33, 11, 11, 9, 9, 33, 33, 11, 11, 9, 9]|[1, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6]|[1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2]
803.jpg|[33]|[5]|[1]
519.jpg|[33]|[5]|[1]
980.jpg|[14, 32, 14, 32]|[1, 1, 6, 6]|[1, 1, 1, 1]
368.jpg|[11, 11, 3, 3, 33, 33, 9, 9, 11, 11, 3, 3, 33, 33, 9, 9, 11, 11, 3, 3, 33, 33, 9, 9]|[1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6]|[1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2]
762.jpg|[3, 3, 11, 11, 33, 33, 9, 9, 3, 3, 11, 11, 33, 33, 9, 9, 3, 3, 11, 11, 33, 33, 9, 9]|[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6]|[1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2]
897.jpg|[35, 27]|[1, 1]|[1, 1]
816.jpg|[34]|[4]|[1]
1032.jpg|[46]|[6]|[2]
381.jpg|[37, 35, 13]|[5, 5, 5]|[1, 1, 1]
75.jpg|[12, 33, 12, 33]|[2, 2, 3, 3]|[1, 1, 1, 1]
130.jpg|[36, 25]|[1, 1]|[1, 1]
187.jpg|[33]|[4]|[1]
189.jpg|[33]|[5]|[1]
1061.jpg|[33]|[5]|[1]
721.jpg|[33]|[5]|[1]
342.jpg|[40]|[6]|[1]
588.jpg|[21]|[1]|[1]
8.jpg|[31]|[6]|[2]
792.jpg|[40]|[6]|[1]
503.jpg|[10]|[6]|[2]
914.jpg|[40]|[6]|[1]
971.jpg|[13, 37, 22, 13, 37, 22, 13, 37, 22]|[1, 1, 1, 4, 4, 4, 6, 6, 6]|[1, 1, 1, 1, 1, 1, 1, 1, 1]
77.jpg|[34]|[5]|[1]
226.jpg|[9]|[6]|[2]
497.jpg|[34]|[5]|[1]
356.jpg|[20]|[6]|[2]
116.jpg|[20, 34]|[6, 6]|[2, 2]
752.jpg|[34]|[1]|[1]
205.jpg|[36]|[2]|[2]
570.jpg|[32]|[6]|[2]
132.jpg|[34]|[1]|[1]
714.jpg|[20, 20, 34, 34, 20, 20, 34, 34]|[4, 4, 4, 4, 5, 5, 5, 5]|[2, 1, 2, 1, 2, 1, 2, 1]
633.jpg|[33, 40, 33, 40]|[3, 3, 6, 6]|[2, 2, 2, 2]
576.jpg|[33]|[1]|[1]
654.jpg|[34]|[5]|[1]
760.jpg|[31]|[6]|[2]
627.jpg|[7, 31, 7, 31]|[3, 3, 6, 6]|[2, 2, 2, 2]
